FID,BPID,Miles,STREET_NAM,FROM_ROAD,TO_ROAD,BLOCK,WARD,WIDTH__fee,Final_Rati,Rating_Cat,FC_Code,FC_Descrip,Date_Enter,Shape__Length
987,SYR2414,0.130089771035,Milnor Ave,Ball,Salisbury Pk.,200,17,23,6,Fair,19,Local,2021/07/16 00:00:00+00,286.129345140258
988,SYR2415,0.0945975290501,Milton Ave,Tompkins,Ulster,100,8,35,6,Fair,17,Collector,2021/06/02 00:00:00+00,208.649989080363
989,SYR2416,0.0946337763237,Milton Ave,Ulster,Schuyler,200,7,35,6,Fair,17,Collector,2021/06/02 00:00:00+00,208.73155854743
990,SYR2417,0.0754128167768,Milton Ave,Schuyler,Hamilton,300,7,35,7,Good,17,Collector,2021/06/02 00:00:00+00,166.340530033851
991,SYR2418,0.0760988367642,Milton Ave,Hamilton,Cayuga,400,7,35,6,Fair,17,Collector,2021/06/02 00:00:00+00,167.854628602107
992,SYR2419,0.0754708146631,Milton Ave,Cayuga,Genesee,500,7,35,6,Fair,17,Collector,2021/06/02 00:00:00+00,166.472002550875
993,SYR242,0.0843413651587,Beech St S,Erie Blvd.,Washington,100,16,30,7,Good,19,Local,2021/07/16 00:00:00+00,186.176698781838
994,SYR2420,0.0758962694139,Milton Ave,Genesee,Erie St.,600,7,35,5,Poor,17,Collector,2021/06/10 00:00:00+00,167.414577233548
995,SYR2421,0.0751957372428,Milton Ave,Erie St.,Herkimer,700,7,35,5,Poor,17,Collector,2021/06/10 00:00:00+00,165.871001031274
996,SYR2422,0.113368928214,Milton Ave,Herkimer,Lewis,800,7,35,7,Good,17,Collector,2021/06/10 00:00:00+00,250.080943815184
997,SYR2423,0.114446987501,Milton Ave,Lewis,Essex,900,7,35,6,Fair,17,Collector,2021/06/10 00:00:00+00,252.46412616755
998,SYR2424,0.0968888774872,Milton Ave,Essex,Emerson,1000,7,35,6,Fair,17,Collector,2021/06/10 00:00:00+00,213.750600267264
999,SYR2425,0.168853137665,Milton Ave,Emerson,Willis,1100,7,35,6,Fair,17,Collector,2021/10/14 00:00:00+00,371.584856130315
1000,SYR2426,0.0544655785098,Milton Ave,Willis,West End Dr.,1200,7,35,5,Poor,17,Collector,2021/06/10 00:00:00+00,119.858318415451
1001,SYR2427,0.0807779693993,Milton Ave,West End Dr.,Avery,1300,7,35,6,Fair,16,Minor Arterial,2021/06/10 00:00:00+00,177.778313566669
1002,SYR2428,0.0988085591633,Mineola Dr,Crawford,Scott,100,17,28,5,Poor,19,Local,2021/07/19 00:00:00+00,217.510927555924
1003,SYR2429,0.116510537909,Minerva St,S. Salina,dead end,100,14,27,7,Good,19,Local,2021/07/16 00:00:00+00,256.071760045291
1004,SYR243,0.0566673249676,Beech St S,Washington,Fayette St.,200,16,30,7,Good,19,Local,2021/07/16 00:00:00+00,125.08642344772
1005,SYR2430,0.0536176125679,Mitchell Ave,Lynch,Armstrong,400,13,30,7,Good,19,Local,2021/07/19 00:00:00+00,118.28645794427
